2.51,1.91,1.99,1.94,1.94,3.15,2.92,2.3,4.07,2.43
2.48,1.88,1.98,1.94,1.99,3.13,2.93,2.29,4.08,2.41
2.47,1.89,2.01,1.93,2.07,3.17,2.93,2.3,4.48,2.41
2.47,1.92,2.05,1.92,2.05,3.26,2.91,2.29,4.41,2.41
2.47,1.93,2.06,1.92,2.02,3.28,2.9,2.3,4.28,2.42
2.45,1.93,2.04,1.89,2.02,3.26,2.88,2.3,4.21,2.43
2.46,1.91,2.03,1.88,2.01,3.25,2.86,2.3,4.18,2.43
2.45,1.89,2.11,1.89,1.99,3.23,2.85,2.33,4.13,2.42
2.52,1.91,2.53,1.91,1.98,3.2,2.85,2.33,4.07,2.42
2.52,1.91,2.74,1.9,1.97,3.15,2.86,2.33,4.02,2.42
2.67,2.02,3.05,1.89,2.01,3.12,2.87,2.33,4.02,2.47
2.58,2.2,2.88,1.88,1.98,3.11,2.88,2.29,4.07,2.49
2.56,2.06,2.68,1.93,1.99,3.1,2.88,2.29,4.04,2.48
2.53,2.01,2.54,1.99,2.08,3.09,2.88,2.29,3.97,2.45
2.55,1.98,2.46,1.96,2.1,3.1,2.94,2.28,3.93,2.43
2.57,1.96,2.37,1.93,2.09,3.08,4.62,2.31,3.92,2.44
2.56,1.96,2.32,1.89,2.07,3.05,4.29,2.3,3.9,2.53
2.57,1.93,2.28,1.88,2.04,3.03,3.88,2.29,3.87,3.02
2.56,1.92,2.25,1.86,2.02,3,3.75,2.29,3.84,2.92
2.53,1.92,2.23,1.88,2.01,3,3.58,2.29,3.79,2.79
2.49,1.91,2.21,1.88,2.01,3,3.48,2.3,3.75,2.67
2.48,1.9,2.2,1.85,2.78,2.99,3.4,2.3,3.76,2.63
2.46,1.9,2.19,1.87,3.5,2.97,3.33,2.31,3.75,2.59
2.46,1.9,2.17,1.86,2.97,2.94,3.3,2.32,3.71,2.57
2.45,3.82,2.17,1.89,2.77,2.94,3.27,2.29,3.67,2.56
2.43,2.32,2.17,1.9,2.62,2.93,3.24,2.28,3.65,2.53
2.42,2.31,2.16,1.94,2.52,2.91,3.2,2.3,3.78,2.51
2.42,2.37,2.13,1.92,2.44,2.89,3.19,2.3,3.84,2.52
2.43,2.3,2.14,1.91,2.37,2.9,3.18,2.3,3.74,2.51
2.43,2.24,2.11,1.92,2.3,2.9,3.17,2.36,3.69,2.62
2.41,2.19,2.05,1.94,2.28,2.9,3.16,2.31,3.65,2.59
2.42,2.13,2.06,1.95,2.29,2.89,3.14,2.29,3.65,2.54
2.38,2.09,2.08,1.95,2.25,2.89,3.13,2.28,3.65,2.51
2.43,2.08,2.01,1.95,2.26,2.85,3.09,2.3,3.65,2.49
2.44,2.08,2.04,1.95,2.29,2.82,3.07,2.3,3.63,2.49
2.43,2.02,2.08,1.97,2.25,2.81,3.07,2.27,3.61,2.46
2.44,2.01,2.06,1.98,2.23,2.8,3.09,2.27,3.59,2.45
2.41,2.01,2.05,1.95,2.21,2.79,3.1,2.27,3.58,2.44
2.39,1.99,2.04,1.95,2.2,2.79,3.09,2.25,3.52,2.44
2.41,1.97,2.03,1.97,2.18,2.77,3.06,2.27,3.49,2.45
2.37,1.97,2.05,1.96,2.16,2.76,3.03,2.29,3.49,2.44
2.38,1.95,2.04,1.94,2.14,2.76,3.02,2.29,3.51,2.44
2.39,1.92,2.03,1.93,2.12,2.76,3.02,2.26,3.52,2.59
2.38,1.97,2.04,1.9,2.11,2.75,3.02,2.24,3.49,2.79
2.38,,2.02,1.92,2.11,2.75,3.22,2.25,3.47,2.72
2.38,1.97,2.04,1.9,2.11,2.75,4.53,2.26,3.46,2.62
2.39,1.99,2.01,1.89,2.1,2.75,4.2,2.27,3.44,2.58
2.39,2.03,2,1.89,2.08,2.73,3.87,2.27,3.43,2.56
2.39,2.64,2.02,1.87,2.05,2.7,3.69,2.27,3.39,2.55
2.38,3.24,2.01,1.87,2.07,2.69,3.6,2.28,3.36,2.55
2.39,2.87,2,1.87,2.07,2.69,4.47,2.28,3.35,2.53
2.4,2.62,2.02,1.85,2.06,2.69,4.36,2.31,3.35,2.51
2.38,2.51,2.01,1.83,2.06,2.7,4.13,2.41,3.34,2.53
