97.1,2.37,48.8,1.97,51.9,2.05,43.3,1.96,66.3,2.16,190,2.76,261,3.03,78.6,2.29,433,3.49,97.1,2.44
98.1,2.38,46.8,1.95,50.8,2.04,40,1.94,63.8,2.14,189,2.76,257,3.02,78.3,2.29,443,3.51,96,2.44
99,2.39,43.6,1.92,49.8,2.03,39.3,1.93,61.4,2.12,188,2.76,257,3.02,74.1,2.26,445,3.52,125,2.59
98,2.38,48.6,1.97,50.5,2.04,36.8,1.9,59.9,2.11,185,2.75,257,3.02,71.8,2.24,430,3.49,171,2.79
98.9,2.38,49,,48.9,2.02,38.7,1.92,59.5,2.11,184,2.75,325,3.22,73.1,2.25,424,3.47,150,2.72
98.3,2.38,48.7,1.97,50.9,2.04,37,1.9,59.6,2.11,185,2.75,970,4.53,73.9,2.26,420,3.46,123,2.62
99.1,2.39,51,1.99,47.7,2.01,35.8,1.89,58.3,2.1,183,2.75,799,4.2,75.5,2.27,412,3.44,114,2.58
99.7,2.39,54.9,2.03,46.5,2,35.9,1.89,55.9,2.08,176,2.73,618,3.87,76.4,2.27,406,3.43,110,2.56
99.9,2.39,167,2.64,47.9,2.02,34.2,1.87,53.2,2.05,169,2.7,527,3.69,76.4,2.27,391,3.39,109,2.55
98.5,2.38,339,3.24,47.5,2.01,33.9,1.87,55,2.07,166,2.69,481,3.6,76.8,2.28,377,3.36,108,2.55
99.2,2.39,221,2.87,45.8,2,34.3,1.87,54.9,2.07,166,2.69,935,4.47,77.7,2.28,374,3.35,104,2.53
101,2.4,157,2.62,48.1,2.02,32.6,1.85,54,2.06,166,2.69,877,4.36,81.4,2.31,373,3.35,101,2.51
98.6,2.38,133,2.51,47.6,2.01,31.2,1.83,53.7,2.06,167,2.7,768,4.13,97.8,2.41,368,3.34,104,2.53
95.8,2.37,114,2.41,44.9,1.99,31.9,1.84,51.6,2.04,204,2.82,668,3.96,154,2.68,367,3.33,101,2.51
97.1,2.37,98.4,2.33,47.1,2.01,33.9,1.86,51.2,2.04,264,2.99,613,3.86,143,2.63,359,3.31,99.3,2.5
93.6,2.35,86.7,2.26,46.9,2,37.4,1.9,53.1,2.05,284,3.04,559,3.76,133,2.59,350,3.29,95.8,2.49
96,2.37,80.7,2.22,44,1.98,35.4,1.88,53.5,2.06,243,2.91,520,3.68,122,2.54,347,3.28,92,2.47
97.2,2.37,75.9,2.19,43.2,1.97,34.4,1.87,51.1,2.03,222,2.84,512,3.66,116,2.51,347,3.28,90.4,2.46
